algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
constructive_learning,0.010,1.617,0.869,0.869,0.869,0.869,0.869,0.848,0.785,0.848,0.131,0.131,0.384,1.574,1.255,0.850,68.549
AIS,0.486,30.185,0.910,0.911,0.910,0.910,0.910,0.896,0.844,0.896,0.090,0.090,0.257,1.051,1.025,0.906,79.005
GBBK,0.027,0.074,0.546,0.650,0.546,0.532,0.568,0.517,0.455,0.479,0.454,0.454,1.763,9.014,3.002,0.459,-64.372
GE SVM,44.646,62.740,0.700,0.735,0.700,0.675,0.684,0.660,0.574,0.650,0.300,0.300,0.938,3.981,1.995,0.621,28.229
Hidden Naive Bayes (HNB),0.021,0.081,0.546,0.650,0.546,0.532,0.568,0.517,0.455,0.479,0.454,0.454,1.763,9.014,3.002,0.459,-64.372
HistGradientBoostingClassifier,0.675,17.117,0.906,0.906,0.906,0.905,0.906,0.891,0.839,0.891,0.094,0.094,0.263,1.059,1.029,0.900,78.850
IGRF-RFE with k-fold Cross-Validation,0.010,1.138,0.866,0.867,0.866,0.866,0.867,0.845,0.780,0.845,0.134,0.134,0.405,1.719,1.311,0.846,65.666
ICA,0.554,63.223,0.897,0.897,0.897,0.896,0.897,0.881,0.823,0.880,0.103,0.103,0.313,1.327,1.152,0.889,73.492
Lasso Regression,0.012,157.240,0.627,0.652,0.627,0.607,0.614,0.574,0.517,0.566,0.373,0.373,1.155,5.085,2.255,0.516,0.780
Meta (KNN),8.279,0.412,0.874,0.876,0.874,0.873,0.874,0.855,0.789,0.854,0.126,0.126,0.397,1.734,1.317,0.865,65.358
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.471,1455.045,0.463,0.480,0.463,0.468,0.474,0.377,0.377,0.376,0.537,0.537,1.724,7.692,2.773,0.332,-52.994
Projected Gradient Descent (PGD),0.013,31.052,0.727,0.747,0.727,0.706,0.706,0.689,0.605,0.682,0.273,0.273,0.840,3.646,1.909,0.655,28.652
PCA,0.005,1.853,0.843,0.843,0.843,0.843,0.843,0.818,0.746,0.818,0.157,0.157,0.489,2.096,1.448,0.818,58.121
RBF,45.275,67.285,0.700,0.739,0.700,0.674,0.683,0.660,0.574,0.651,0.300,0.300,0.940,3.988,1.997,0.621,28.163
Stacked Convolutional Neural Networks with k-fold Cross-Validation,3.374,100.386,0.785,0.785,0.785,0.762,0.764,0.755,0.664,0.751,0.215,0.215,0.707,3.217,1.793,0.748,36.482
Simulated Annealing (SA),0.002,128.440,0.396,0.268,0.396,0.292,0.275,0.385,0.265,0.266,0.604,0.604,1.942,7.735,2.781,0.221,-10.748
SVM with Optimization and k-fold Cross-Validation,13.530,55.765,0.614,0.663,0.614,0.568,0.581,0.573,0.487,0.545,0.386,0.386,1.205,4.929,2.220,0.483,2.834
Stacking Classifier,1.283,195.320,0.874,0.874,0.874,0.874,0.874,0.854,0.792,0.854,0.126,0.126,0.369,1.504,1.226,0.857,69.951
Stacking Dilated Convolutional Autoencoders,0.017,10.541,0.869,0.869,0.869,0.869,0.869,0.848,0.784,0.848,0.131,0.131,0.386,1.592,1.262,0.850,68.193
Temporal Deep Feedforward Neural Network,3.337,86.436,0.677,0.707,0.677,0.639,0.642,0.638,0.549,0.624,0.323,0.323,1.006,4.407,2.099,0.580,13.818
Voting Classifier,0.209,3.491,0.870,0.872,0.870,0.871,0.871,0.849,0.788,0.849,0.130,0.130,0.379,1.559,1.249,0.853,68.905
GBT,0.637,404.254,0.880,0.882,0.880,0.879,0.880,0.862,0.800,0.861,0.120,0.120,0.357,1.515,1.231,0.871,69.737
CART,0.015,3315.530,0.252,0.135,0.252,0.110,0.098,0.078,0.068,0.012,0.748,0.748,1.762,5.346,2.312,0.122,2.738
